Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
50x50,100,10,2,0,993
50x50,100,11,2,0,1207
50x50,100,11,2,0,855
50x50,100,11,2,0,1040
50x50,100,11,2,0,931
50x50,100,11,2,0,1242
50x50,100,12,2,0,1381
50x50,100,12,2,0,1544
50x50,100,12,2,0,2892
50x50,100,12,2,0,1839
50x50,100,12,2,0,1922
50x50,100,13,2,0,19638
50x50,100,13,2,0,16775
50x50,100,13,2,0,19569
50x50,100,13,2,0,16530
50x50,100,13,2,0,19588
50x50,100,14,2,0,18855
50x50,100,14,2,0,22794
50x50,100,14,2,0,22427
50x50,100,14,2,0,19434
50x50,100,14,2,0,22345
50x50,100,1,3,0,1582
50x50,100,1,3,0,1246
50x50,100,1,3,0,1466
50x50,100,1,3,0,1344
50x50,100,1,3,0,1394
50x50,100,2,3,0,786
50x50,100,2,3,0,835
50x50,100,2,3,0,803
50x50,100,2,3,0,849
50x50,100,2,3,0,763
50x50,100,3,3,0,709
50x50,100,3,3,0,740
50x50,100,3,3,0,666
50x50,100,3,3,0,780
50x50,100,3,3,0,744
50x50,100,4,3,0,691
50x50,100,4,3,0,735
50x50,100,4,3,0,700
50x50,100,4,3,0,704
50x50,100,4,3,0,698
50x50,100,5,3,0,723
50x50,100,5,3,0,675
50x50,100,5,3,0,707
50x50,100,5,3,0,714
50x50,100,5,3,0,706
50x50,100,6,3,0,714
50x50,100,6,3,0,837
50x50,100,6,3,0,747
50x50,100,6,3,0,745
50x50,100,6,3,0,633
50x50,100,7,3,0,662
50x50,100,7,3,0,675
50x50,100,7,3,0,815
50x50,100,7,3,0,877
50x50,100,7,3,0,661
50x50,100,8,3,0,634
50x50,100,8,3,0,794
50x50,100,8,3,0,745
50x50,100,8,3,0,786
50x50,100,8,3,0,759
50x50,100,9,3,0,840
50x50,100,9,3,0,723
50x50,100,9,3,0,713
50x50,100,9,3,0,752
50x50,100,9,3,0,813
50x50,100,10,3,0,761
50x50,100,10,3,0,965
50x50,100,10,3,0,725
50x50,100,10,3,0,687
50x50,100,10,3,0,798
50x50,100,11,3,0,3978
50x50,100,11,3,0,1360
50x50,100,11,3,0,1337
50x50,100,11,3,0,877
50x50,100,11,3,0,848
50x50,100,12,3,0,1368
50x50,100,12,3,0,1219
50x50,100,12,3,0,898
50x50,100,12,3,0,1331
50x50,100,12,3,0,615
50x50,100,13,3,0,1067
50x50,100,13,3,0,1083
50x50,100,13,3,0,1132
50x50,100,13,3,0,1160
50x50,100,13,3,0,1149
50x50,100,14,3,0,1051
50x50,100,14,3,0,1115
50x50,100,14,3,0,1081
50x50,100,14,3,0,1126
50x50,100,14,3,0,1101
50x50,100,1,4,0,6779
50x50,100,1,4,0,3892
50x50,100,1,4,0,3928
50x50,100,1,4,0,3919
50x50,100,1,4,0,3713
50x50,100,2,4,0,2644
50x50,100,2,4,0,2709
50x50,100,2,4,0,2720
50x50,100,2,4,0,2750
50x50,100,2,4,0,5686
50x50,100,3,4,0,2564
50x50,100,3,4,0,2567
50x50,100,3,4,0,2614
50x50,100,3,4,0,2538
50x50,100,3,4,0,2584
50x50,100,4,4,0,2414
50x50,100,4,4,0,2445
50x50,100,4,4,0,2353
50x50,100,4,4,0,2376
50x50,100,4,4,0,2463
50x50,100,5,4,0,2436
50x50,100,5,4,0,2378
50x50,100,5,4,0,5363
50x50,100,5,4,0,2394
50x50,100,5,4,0,2409
50x50,100,6,4,0,2390
50x50,100,6,4,0,2721
50x50,100,6,4,0,2395
50x50,100,6,4,0,2322
50x50,100,6,4,0,2450
50x50,100,7,4,0,2386
50x50,100,7,4,0,2451
50x50,100,7,4,0,2533
50x50,100,7,4,0,2540
50x50,100,7,4,0,2390
50x50,100,8,4,0,5639
50x50,100,8,4,0,2661
50x50,100,8,4,0,2783
50x50,100,8,4,0,2795
50x50,100,8,4,0,2640
50x50,100,9,4,0,2647
50x50,100,9,4,0,2757
50x50,100,9,4,0,2581
50x50,100,9,4,0,2784
50x50,100,9,4,0,2608
50x50,100,10,4,0,2767
50x50,100,10,4,0,5966
50x50,100,10,4,0,2972
50x50,100,10,4,0,2943
50x50,100,10,4,0,2890
50x50,100,11,4,0,3264
50x50,100,11,4,0,3439
50x50,100,11,4,0,3620
50x50,100,11,4,0,3866
50x50,100,11,4,0,3279
50x50,100,12,4,0,3683
50x50,100,12,4,0,7264
50x50,100,12,4,0,4065
50x50,100,12,4,0,5299
50x50,100,12,4,0,5282
50x50,100,13,4,0,229334
50x50,100,13,4,0,227676
50x50,100,13,4,0,225628
50x50,100,13,4,0,225239
50x50,100,13,4,0,234844
50x50,100,14,4,0,255799
50x50,100,14,4,0,261389
50x50,100,14,4,0,259014
50x50,100,14,4,0,259112
50x50,100,14,4,0,258823
50x50,100,1,0,1,1111
50x50,100,1,0,1,1098
50x50,100,1,0,1,1270
50x50,100,1,0,1,1151
50x50,100,1,0,1,1146
50x50,100,2,0,1,796
